Region,Year,Population,Total_Vehicles,BNP,Trafikkarbeid,Population_Percent_Change,Total_Vehicles_Percent_Change,BNP_Percent_Change,trafikkarbeid_lagged
Rogaland,2012,443115,212244,209906,1.7,1.6116050237682,3.18685005031869,8.35815502155228,1.9
Rogaland,2013,452159,217712,226079,2.4,2.04100515667491,2.57628013041593,7.70487742132193,1.7
Rogaland,2014,459625,221995,235231,1.5,1.65118907287039,1.96727787168369,4.04814246347516,2.4
Rogaland,2015,466302,225279,246923,0.2,1.45270601033452,1.47931259713057,4.97043331873774,1.5
Rogaland,2016,470175,227386,231667,-0.4,0.830577608502647,0.935284691427074,-6.17844429235025,0.2
Rogaland,2017,472024,229876,235046,0.3,0.393257829531568,1.09505422497427,1.45855905243302,-0.4
Rogaland,2018,473526,231073,245637,-1.7,0.318204159110547,0.520715516191328,4.50592649949371,0.3
Rogaland,2019,475654,234911,267238,-0.8,0.449394542221548,1.66094697346726,8.79387063023893,-1.7
Telemark,2009,167548,81429,48884,0.6,0.490010855809664,2.02473281295028,-4.49172576832151,0.7
Telemark,2010,168231,83010,51472,0.5,0.407644376536864,1.94156872858564,5.29416578021438,0.6
Telemark,2011,169185,84341,51737,-0.1,0.567077411416439,1.60342127454523,0.514843021448552,0.5
Telemark,2012,170023,85876,53232,0.8,0.49531577858557,1.81999264888964,2.88961478245744,-0.1
Telemark,2013,170902,87053,55740,0.4,0.516988877975333,1.3705808374866,4.71145175834085,0.8
Telemark,2014,171469,88265,57692,1.7,0.331769084036471,1.39225529275269,3.50197344815213,0.4
Telemark,2015,171953,89720,62342,3.1,0.282266765421158,1.64844502350876,8.06004298689593,1.7
Telemark,2016,172494,91050,62442,0.3,0.314620855698933,1.48238965670977,0.160405505116934,3.1
Telemark,2017,173307,92021,65409,1,0.471320741591019,1.06644700713894,4.75160949361007,0.3
Telemark,2018,173391,91790,70772,0.6,0.0484689020062712,-0.251029656274115,8.19917748322096,1
Telemark,2019,173318,93240,72842,0.6,-0.0421013778108437,1.57969277699095,2.92488554795682,0.6
Troms - Romsa - Tromssa,2009,156886,69200,47388,0.3,0.580843697909983,2.00471698113207,8.15474152687436,1.4
Troms - Romsa - Tromssa,2010,157839,71264,50116,1.5,0.607447445916143,2.98265895953758,5.75673166202415,0.3
Troms - Romsa - Tromssa,2011,158879,73062,52381,0.9,0.658899258104784,2.52301302200269,4.51951472583607,1.5
Troms - Romsa - Tromssa,2012,159934,75514,54679,1,0.664027341561813,3.35605376255783,4.38708692083007,0.9
Troms - Romsa - Tromssa,2013,161696,77720,59442,1.5,1.10170445308691,2.9213126042853,8.71083962764498,1
Troms - Romsa - Tromssa,2014,163306,79592,62368,2.5,0.995695626360571,2.40864642305714,4.92244540897009,1.5
Troms - Romsa - Tromssa,2015,164733,81871,64375,2.6,0.873819700439671,2.86335310081416,3.21799640841458,2.5
Troms - Romsa - Tromssa,2016,165613,83934,71567,0.8,0.534197762439836,2.51981776208914,11.1720388349515,2.6
Troms - Romsa - Tromssa,2017,166884,85737,74564,0.1,0.767451830472243,2.14811637715349,4.18768426788883,0.8
Troms - Romsa - Tromssa,2018,167758,86470,78283,0.3,0.52371707293688,0.854940107538171,4.98766160613702,0.1
Troms - Romsa - Tromssa,2019,168461,87538,80486,-0.4,0.419056021173359,1.23511044292819,2.81414866573841,0.3
Trøndelag,2009,421125,196804,129569,1.05,1.09466709877211,2.1488186687705,1.83680206237424,0.75
Trøndelag,2010,425793,201695,139070,0.4,1.10845948352627,2.48521371516839,7.33277249959481,1.05
Trøndelag,2011,429928,206465,144391,2.2,0.971129163701612,2.36495698951387,3.82613072553391,0.4
Trøndelag,2012,435069,211427,155563,0.65,1.19578161924787,2.40331291017848,7.73732434847048,2.2
Trøndelag,2013,440865,215271,165055,1.25,1.33220247822758,1.81812162117421,6.10170798968908,0.65
Trøndelag,2014,444966,218902,172684,2.1,0.9302167330135,1.68671116871293,4.62209566508134,1.25
Trøndelag,2015,449386,223470,183023,1.75,0.993334322172923,2.08677855844168,5.98723680248314,2.1
Trøndelag,2016,453352,227913,191702,1.55,0.882537506731418,1.98818633373608,4.74202695836044,1.75
Trøndelag,2017,458221,232157,203406,1,1.073999894122,1.86211405229189,6.10530928211495,1.55
Trøndelag,2018,462354,234297,214117,1,0.901966518339403,0.921789995563338,5.26582303373548,1
Trøndelag,2019,465634,238599,222019,0.7,0.709413133659487,1.83613106441825,3.6905056581215,1
Vestfold,2009,222675,107500,64845,1.6,1.22971314270128,2.09605576818972,0.200880784980306,3
Vestfold,2010,224820,109739,65433,1.9,0.963287302121918,2.08279069767441,0.906777700670824,1.6
Vestfold,2011,227211,112280,67577,1.2,1.06351748065119,2.3154940358487,3.27663411428485,1.9
Vestfold,2012,229843,114576,72846,1.9,1.15839461997878,2.04488778054863,7.79703153439779,1.2
Vestfold,2013,232178,117063,75029,1,1.01591086089201,2.1706116464181,2.99673283364907,1.9
Vestfold,2014,234280,118838,76788,1.1,0.905339868549127,1.51627755994634,2.34442682162896,1
Vestfold,2015,236061,121641,82740,2.3,0.760201468328492,2.3586731516855,7.75121112673856,1.1
Vestfold,2016,238363,124774,86240,1.8,0.975171671728914,2.57561184140216,4.23011844331642,2.3
Vestfold,2017,240395,127769,88816,3.2,0.85248129953055,2.40033981438441,2.98701298701298,1.8
Vestfold,2018,242386,129143,93309,2,0.828220220886466,1.07537822163435,5.05877319401911,3.2
Vestfold,2019,244393,132175,96159,1,0.828018119858398,2.34778501351216,3.0543677458766,2
